index,Cuartos,Baños,GARAGE,Area,Construido,Año,Dis_Cento,Dis_Escuela,LATITUDE,LONGITUDE,Precio,Direccion,Ult_venta
0,4,2,2.0,600,160,2003.0,18300,0.8283385518162787,-32.1159,115.84245,565000,1 Acorn Place,"09-2018"
1,3,2,2.0,351,139,2013.0,26900,5.524324354371822,-32.19347028,115.8595535,365000,1 Addis Way,"02-2019"
2,3,1,1.0,719,86,1979.0,22600,1.649178183366986,-32.12057813,115.993579,287000,1 Ainsley Court,"06-2015"
3,2,1,2.0,651,59,1953.0,17900,1.5714009366124688,-31.90054675,116.0380088,255000,1 Albert Street,"07-2018"
4,4,1,2.0,466,131,1998.0,11200,1.5149216294528034,-31.88579,115.94778,325000,1 Aman Place,"11-2016"
5,4,2,1.0,759,118,1991.0,27300,1.227219194399204,-32.1538014,116.0236578,409000,1 Amethyst Crescent,"03-2013"
6,3,2,2.0,386,132,2014.0,28200,2.485730857063224,-32.17997786,115.9886473,400000,1 Ardara Lane,"05-2016"
7,4,2,2.0,468,158,2013.0,41700,0.4915731383363828,-32.31766224,115.7619682,370000,1 Arnside Bend,"03-2019"
8,4,2,3.0,875,168,1983.0,12100,1.2219275931111655,-31.84775987,115.8227005,565000,1 Arrochar Court,"06-2020"
9,3,2,8.0,552,126,1999.0,5900,0.936243264888652,-31.91788,115.90705,685000,1 Arundel Street,"10-2019"
10,4,2,6.0,2538,241,1977.0,22900,0.4964007594795787,-32.01574,116.08891,675000,1 Ash Road,"07-2014"
11,3,2,2.0,398,158,2003.0,36300,0.6808433268155856,-31.65428,115.7022,367500,1 Ashcott Gate,"11-2018"
12,3,2,2.0,243,94,2008.0,11500,0.1893503137159569,-31.84964681,115.846314,300000,1 Ashcroft Way,"12-2019"
13,4,2,4.0,704,247,2002.0,23100,2.2206426655498723,-32.15959,115.84948,535000,1 Ashendon Boulevard,"07-2019"
14,4,2,2.0,614,186,2004.0,13100,3.2343986089606025,-32.00294817,115.9836459,540000,1 Ashtree Boulevard,"05-2018"
15,3,2,3.0,706,196,1985.0,12500,1.1833626029374116,-32.06458,115.86046,685000,1 August Court,"11-2017"
16,4,2,2.0,663,154,1994.0,36700,14.013548390601851,-31.66068818,116.0407159,350000,1 Avonlea Place,"11-2017"
17,4,2,2.0,568,225,2003.0,15300,2.746772139797852,-31.95242,116.0207,570000,1 Babbler Court,"10-2020"
18,2,1,3.0,751,90,1959.0,18100,1.8592465386914536,-31.90409,116.04213,318000,1 Balga Place,"05-2013"
19,3,2,3.0,785,167,1977.0,25400,1.3641957547366643,-32.13247,116.0242,379000,1 Bamlett Street,"08-2017"
20,4,1,1.0,782,111,1981.0,23300,4.204627996200461,-32.14885,115.94308,387500,1 Banken Court,"04-2017"
21,4,2,2.0,450,173,2000.0,20700,0.7471080892276758,-32.13768,115.86697,465000,1 Barcroft Court,"08-2017"
22,3,1,1.0,421,93,1972.0,11800,1.930504981792736,-31.88355668,115.9542319,325000,1 Bates Loop,"08-2014"
23,3,2,2.0,388,160,2007.0,25000,3.141444909009006,-31.7328966,115.7996371,515000,1 Batoni Way,"09-2014"
24,3,1,1.0,550,121,1920.0,14600,0.5195732638053656,-31.88948,115.99427,610000,1 Bayley Street,"04-2013"
25,5,2,2.0,855,305,1981.0,10800,1.4288256583640708,-32.02366,115.78189,1950000,1 Beach Street,"10-2018"
26,4,2,2.0,600,295,2006.0,54500,2.1320305200513947,-32.434584,115.758448,420000,1 Beacon Way,"01-2015"
27,3,1,3.0,452,88,,13100,1.5178108452820758,-31.90698,115.98698,347500,1 Beenan Elbow,"08-2018"
28,4,2,2.0,459,250,2012.0,14100,3.374077197496846,-32.00415385,115.9949594,492000,1 Belfry Way,"11-2017"
29,3,1,2.0,711,99,1985.0,27500,0.6307358201923885,-32.164115,116.0083927,201000,1 Bell Court,"02-2019"
30,3,1,1.0,570,108,1996.0,15500,1.296626334289668,-32.03406,115.99137,275000,1 Bellata Place,"04-2018"
31,4,2,1.0,808,155,1983.0,16700,1.173982946797674,-32.08948,115.78811,410000,1 Bellier Place,"12-2019"
32,4,2,2.0,550,127,1999.0,46800,2.016747892191808,-32.36259,115.7517,315000,1 Belmont Close,"12-2020"
33,4,3,6.0,2095,254,,27300,6.04955388249433,-32.11535746,116.0748618,795000,1 Belvedere Rise,"10-2017"
34,4,2,4.0,2028,222,1988.0,24000,1.6349241820962144,-31.91039,116.10841,600000,1 Benowa Drive,"08-2015"
35,4,2,2.0,672,186,2002.0,50400,2.1973149440264903,-32.39686,115.75637,400000,1 Bianco Place,"09-2019"
36,3,1,2.0,797,177,1974.0,20900,3.788223562883484,-31.82521,116.02121,350000,1 Bignell Place,"08-2013"
37,4,2,2.0,480,170,1998.0,10800,1.5090079879697609,-31.86994,115.79768,835000,1 Bindoon Close,"06-2016"
38,4,2,2.0,469,152,2008.0,19000,1.784415085505154,-32.11598945,115.9173273,482000,1 Binnia Mews,"11-2020"
39,3,3,2.0,354,227,2000.0,12900,2.427821858858271,-32.02689,115.75382,1260000,1 Binns Court,"11-2016"
40,3,2,4.0,781,156,1989.0,34800,0.774913817309598,-31.66895,115.70455,405000,1 Bishops Close,"03-2019"
41,3,2,2.0,620,143,2002.0,14800,2.295611113645283,-31.95549,116.01601,465000,1 Bittern Close,"07-2019"
42,5,2,2.0,592,168,1996.0,19800,3.736130486068356,-32.11658806,115.7790863,560000,1 Blato Place,"12-2018"
43,3,1,2.0,979,122,1978.0,11300,1.1228906301327497,-32.0459,115.90519,380000,1 Bohemia Way,"05-2016"
44,3,2,2.0,397,130,2006.0,38000,1.6522015339628773,-31.638689,115.700206,360000,1 Boncath Road,"12-2020"
45,4,2,2.0,641,221,2005.0,26900,1.9590164130110144,-31.71607737,115.7997715,540000,1 Bonita Way,"03-2018"
46,3,2,2.0,680,163,1991.0,16200,1.735659975664515,-32.07705,115.94632,420000,1 Boronia Court,"06-2020"
47,4,2,2.0,495,171,2011.0,45500,2.668401882053026,-32.36170962,115.8136691,330000,1 Borough Road,"12-2020"
48,3,1,6.0,774,132,1952.0,4500,1.093286046042056,-31.98792,115.88137,705000,1 Bourke Street,"10-2017"
49,4,2,2.0,818,247,1994.0,10900,0.5464288811907199,-31.88124,115.93878,615000,1 Bowood Cove,"03-2016"
50,3,2,2.0,775,151,1960.0,15500,0.8307663583413691,-32.07693,115.78611,565000,1 Bradbury Road,"05-2020"
51,3,1,1.0,917,120,1959.0,3500,0.4013905888710384,-31.92056,115.86557,850000,1 Bradford Street,"10-2013"
52,4,2,2.0,447,305,2015.0,18600,1.4963495341523,-32.0993486,115.9525676,780000,1 Bradstocks Grove,"09-2018"
53,3,3,2.0,358,154,2001.0,17100,1.526177504053366,-32.10379,115.82631,520000,1 Bramley Way,"03-2018"
54,3,1,1.0,619,150,1945.0,8800,0.5714538835012237,-31.97685,115.76985,1100000,1 Brassey Street,"12-2016"
55,5,2,2.0,834,246,2004.0,26400,3.964054248621698,-31.75123,116.00693,590000,1 Brentwood Way,"03-2020"
56,4,2,3.0,561,101,1993.0,19400,2.207307702135043,-31.86829,116.03838,312000,1 Brilliant Rise,"08-2018"
57,3,2,3.0,372,213,2008.0,13400,1.2602271540900296,-31.86096794,115.7663678,900000,1 Briston Place,"08-2016"
58,3,1,,412,150,2015.0,26200,1.0032399435564363,-32.15937438,115.9880817,177000,1 Bristow Street,"08-2013"
59,4,2,2.0,541,188,2004.0,16000,1.257943569133381,-31.81185,115.8241,580000,1 Brittain Avenue,"07-2017"
60,4,2,2.0,544,246,2010.0,8700,0.9108820775888916,-31.91782603,115.7766387,1310000,1 Brix Street,"07-2019"
61,3,2,2.0,295,110,1950.0,8000,1.8221119153340877,-32.00510024,115.9157517,470000,1 Brixton Road,"02-2018"
62,3,2,2.0,578,176,1995.0,6400,0.5838539860074374,-32.00891,115.87138,717000,1 Bruning Road,"02-2018"
63,4,2,1.0,715,170,,13900,1.500365837809437,-31.83908,115.79647,650000,1 Buckie Court,"08-2014"
64,4,1,4.0,380,114,1998.0,9500,0.2653986305726844,-32.00205721,115.941062,387000,1 Bull Place,"09-2018"
65,3,2,2.0,233,111,2014.0,31900,0.9586860908608232,-32.23409592,115.8058854,330000,1 Bynder Lane,"07-2015"
66,2,1,,2578,180,1977.0,18200,1.1428021247311355,-31.98705,116.04769,605000,1 Cabarita Road,"08-2020"
67,3,2,2.0,350,156,2016.0,35200,14.257082473865491,-31.65843642,116.0411802,380000,1 Cadiz Way,"06-2016"
68,2,1,2.0,828,117,1965.0,17800,2.488743831488223,-31.90963,116.04061,85000,1 Caladenia Way,"10-1998"
69,3,2,2.0,603,128,1992.0,34500,0.8727779765182248,-31.66719,115.71465,345000,1 Cam Court,"06-2017"
70,4,2,2.0,619,180,2008.0,24100,2.757298788389314,-32.16854691,115.86785,528000,1 Camden Boulevard,"03-2018"
71,4,1,5.0,802,266,2012.0,12000,1.1339156167704767,-31.87098262,115.7759589,1350000,1 Cameron Street,"03-2018"
72,4,2,2.0,1940,223,1982.0,18700,2.9641504305521567,-31.95124,116.05696,735000,1 Camira Place,"07-2015"
73,4,2,2.0,529,176,2005.0,15400,0.9080791199887812,-31.81372,115.85078,442500,1 Camrose Lane,"11-2019"
74,3,2,2.0,500,312,2003.0,18600,1.1773460302620864,-31.81745,115.74223,1015000,1 Canarias Way,"08-2018"
75,3,2,4.0,771,200,1985.0,13500,2.340057578272209,-31.83138,115.87381,530000,1 Cannon Court,"05-2016"
76,3,1,2.0,688,90,1958.0,6800,1.4162531479760074,-31.99883,115.90544,515000,1 Canny Road,"06-2019"
77,4,2,4.0,1012,251,2005.0,10500,1.5188824776156191,-31.90763,115.9573,1100000,1 Carnegie Road,"11-2018"
78,4,3,2.0,590,261,2005.0,8500,0.645276942986222,-32.02499618,115.8306028,1265000,1 Carroll Street,"02-2018"
79,4,3,2.0,4225,236,2003.0,28600,3.89817720262778,-32.14722691,116.0560529,750000,1 Cartland Court,"08-2019"
80,4,2,4.0,446,147,2008.0,22700,2.094911833401787,-32.15555254,115.8466171,472500,1 Caterpillar Road,"07-2018"
81,4,2,,532,185,,12300,1.136160904867254,-31.84873764,115.9045034,392500,1 Caxton Lane,"01-2019"
82,4,2,2.0,454,263,,14700,0.8310189988790908,-31.8934,115.998,900000,1 Centaur Circle,"12-2008"
83,5,2,2.0,642,153,1994.0,35000,1.2145051752706348,-32.26303,115.80407,380000,1 Cessford Close,"04-2015"
84,3,2,2.0,449,179,2001.0,6800,0.9884782102504912,-32.01232,115.87353,590000,1 Challenger Avenue,"04-2019"
85,4,2,2.0,727,179,1985.0,11300,0.8025022598534814,-32.05318,115.85013,835000,1 Chamberlain Circle,"11-2018"
86,4,2,2.0,432,155,2015.0,43700,5.284579807507599,-31.59475775,115.6689691,495000,1 Charleston Road,"02-2016"
87,4,2,3.0,543,111,1994.0,11000,1.192517672021573,-31.88496,115.94411,390000,1 Chauvel Court,"06-2012"
88,3,1,2.0,806,119,1970.0,31900,1.1822571093570655,-32.23786,115.82736,280000,1 Chester Court,"03-2017"
89,3,1,2.0,953,140,1974.0,13300,0.944525280478782,-32.02907099,115.9661741,355000,1 Chiddington Street,"02-2017"
90,4,2,4.0,697,160,1987.0,20800,1.7420523808690005,-31.77422523,115.7911066,465000,1 Chipala Court,"01-2016"
91,3,2,2.0,402,135,,17200,1.5292995824649906,-32.10493,115.83043,372000,1 Citrus Loop,"01-2020"
92,4,2,2.0,1012,180,1994.0,16600,3.135863661389195,-31.91358,116.02843,685000,1 Claret Ash Court,"04-2015"
93,3,2,2.0,218,130,2006.0,10900,0.6670685196759771,-32.01255367,115.9493774,360000,1 Clarke Street,"03-2016"
94,4,2,2.0,550,185,2006.0,54600,2.2454085252134144,-32.43563932,115.7585468,320000,1 Clearwater Way,"06-2020"
95,3,2,2.0,289,122,2008.0,15100,0.866779697791059,-31.81702,115.84811,492000,1 Clifford Loop,"04-2016"
96,5,2,2.0,766,290,1990.0,15200,1.857116986460901,-31.84584,115.75809,974000,1 Cliverton Court,"02-2013"
97,4,2,5.0,1062,177,1988.0,17800,1.6458743464550831,-32.0541,116.0043,435000,1 Clovertree Street,"09-2017"
98,3,2,2.0,367,160,1995.0,6900,0.8258967333064485,-31.9669,115.78778,900000,1 Cobea Court,"06-2017"
99,3,1,3.0,698,110,1975.0,13900,0.6005024273524234,-31.8335,115.81362,405000,1 Cockman Road,"08-2018"
100,3,1,1.0,782,111,1978.0,12400,1.7721533441463786,-31.87535346,115.9536986,290000,1 Cohen Place,"12-2018"
101,2,2,1.0,635,201,1950.0,4600,0.8283557812219488,-31.92994,115.81815,1160000,1 Collier Street,"12-2019"
102,3,2,2.0,555,159,2004.0,36700,0.4784643150888098,-31.64758777,115.710316,415000,1 Colmworth Way,"11-2019"
103,4,2,1.0,758,125,1984.0,22100,0.2751352156882065,-31.76607,115.77891,525000,1 Colonial Mews,"10-2017"
104,4,2,3.0,578,229,2012.0,19500,0.7050115331321091,-32.11590661,115.9300609,629000,1 Conical Way,"09-2017"
105,4,2,2.0,510,217,2007.0,25200,3.089274715629556,-31.76277307,116.0041591,600000,1 Convallis Vista,"11-2020"
106,3,2,2.0,618,134,2005.0,16300,1.0966909467611414,-31.808107,115.82654,427000,1 Corbin Gate,"03-2020"
107,5,3,2.0,911,309,1995.0,26100,1.364734634329765,-31.74341,115.73399,1015000,1 Coronado Ridge,"02-2017"
108,4,2,2.0,747,210,1991.0,42500,1.1778358413079064,-32.32226,115.748,445000,1 Corvette Close,"11-2019"
109,4,2,3.0,1869,167,1985.0,29100,1.8512313396055864,-31.90413,116.16174,610000,1 Craigie Place,"12-2018"
110,4,2,2.0,803,173,1988.0,13300,1.093248837960484,-31.83561,115.88917,465000,1 Crest Grove,"08-2019"
111,4,2,2.0,545,160,1993.0,10800,0.4985020167053297,-31.88155,115.93723,454000,1 Creswick Cross,"09-2009"
112,3,2,1.0,514,131,2000.0,20200,2.3394162247710946,-31.8666182,116.0474837,380000,1 Criollo Place,"10-2014"
113,4,2,2.0,401,186,2005.0,25100,3.1255687265192087,-31.73266376,115.8005439,382000,1 Crivelli Parkway,"06-2020"
114,4,2,2.0,527,209,2001.0,7400,0.8250744707544544,-32.01888,115.86017,1150000,1 Crowley Vista,"01-2014"
115,2,1,2.0,1100,497,1958.0,9300,1.335488696225683,-32.035946,115.853523,2200000,1 Curruthers Road,"12-2018"
116,4,2,4.0,580,140,2006.0,42900,1.3622448756117536,-32.3275827,115.7565963,375000,1 Cypress Mews,"09-2018"
117,4,2,2.0,694,246,2010.0,32600,0.9236522735311185,-32.22239608,115.9921401,495000,1 Dagostino Road,"11-2020"
118,3,2,2.0,327,171,2008.0,15900,0.3082940723333923,-31.81004895,115.84418,445000,1 Dalkey Way,"09-2016"
119,4,2,1.0,450,150,2002.0,12600,1.0008772383254252,-32.05243282,115.7976803,515000,1 Danzil Street,"07-2019"
